topic,topicLabel
http://dbpedia.org/resource/MAX_Light_Rail,MAX Light Rail
http://dbpedia.org/resource/HarperCollins,HarperCollins
http://dbpedia.org/resource/Data_type,Data type
http://dbpedia.org/resource/Berlin,Berlin
http://dbpedia.org/resource/PHP,PHP
http://dbpedia.org/resource/Schema.org,Schema.org
http://dbpedia.org/resource/Frog,Frog
http://dbpedia.org/resource/E-carrier,E-carrier
http://dbpedia.org/resource/Food_web,Food web
http://dbpedia.org/resource/Automation,Automation
http://dbpedia.org/resource/Logic,Logic
http://dbpedia.org/resource/Facebook_Graph_Search,Facebook Graph Search
http://dbpedia.org/resource/Discovery_Channel,Discovery Channel
http://dbpedia.org/resource/Euclidean_space,Euclidean space
http://dbpedia.org/resource/Taylorcraft_Auster,Taylorcraft Auster
http://dbpedia.org/resource/String_literal,String literal
http://dbpedia.org/resource/Apple_A12,Apple A12
http://dbpedia.org/resource/Metamorphosis,Metamorphosis
http://dbpedia.org/resource/Miroirs,Miroirs
http://dbpedia.org/resource/Prentice_Hall,Prentice Hall
http://dbpedia.org/resource/Leonardo_da_Vinci,Leonardo da Vinci
http://dbpedia.org/resource/Abstract_and_concrete,Abstract and concrete
http://dbpedia.org/resource/Stuart_J._Russell,Stuart J. Russell
http://dbpedia.org/resource/Machine-readable_data,Machine-readable data
http://dbpedia.org/resource/Database,Database
http://dbpedia.org/resource/Knowledge_base,Knowledge base
http://dbpedia.org/resource/Intelligent_agent,Intelligent agent
http://dbpedia.org/resource/McGill_University,McGill University
http://dbpedia.org/resource/Montreal,Montreal
http://dbpedia.org/resource/LinkedIn,LinkedIn
http://dbpedia.org/resource/The_Details,The Details
http://dbpedia.org/resource/HTTP_303,HTTP 303
http://dbpedia.org/resource/Concordia_University,Concordia University
http://dbpedia.org/resource/URL,URL
http://dbpedia.org/resource/Public_Knowledge,Public Knowledge
